Year,Bank,KeywordIndex,TotalResults
2016,United Overseas Bank Ltd,Kw4,0
2016,United Overseas Bank Ltd,Kw5,1
2016,United Overseas Bank Ltd,Kw6,0
2016,United Overseas Bank Ltd,Kw7,0
2016,United Overseas Bank Ltd,Kw8,0
2016,United Overseas Bank Ltd,Kw9,0
2016,United Overseas Bank Ltd,Kw10,0
2016,United Overseas Bank Ltd,Kw11,0
2016,United Overseas Bank Ltd,Kw12,1
2016,United Overseas Bank Ltd,Kw13,0
2015,United Overseas Bank Ltd,Kw1,2
2015,United Overseas Bank Ltd,Kw2,0
2015,United Overseas Bank Ltd,Kw3,0
2015,United Overseas Bank Ltd,Kw4,1
2015,United Overseas Bank Ltd,Kw5,1
2015,United Overseas Bank Ltd,Kw6,0
2015,United Overseas Bank Ltd,Kw7,0
2015,United Overseas Bank Ltd,Kw8,0
2015,United Overseas Bank Ltd,Kw9,1
2015,United Overseas Bank Ltd,Kw10,0
2015,United Overseas Bank Ltd,Kw11,0
2015,United Overseas Bank Ltd,Kw12,2
2015,United Overseas Bank Ltd,Kw13,0
2025,Oversea-Chinese Banking Corporation Ltd,Kw1,7
2025,Oversea-Chinese Banking Corporation Ltd,Kw2,17
2025,Oversea-Chinese Banking Corporation Ltd,Kw3,9
2025,Oversea-Chinese Banking Corporation Ltd,Kw4,11
2025,Oversea-Chinese Banking Corporation Ltd,Kw5,35
2025,Oversea-Chinese Banking Corporation Ltd,Kw6,42
2025,Oversea-Chinese Banking Corporation Ltd,Kw7,3
2025,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2025,Oversea-Chinese Banking Corporation Ltd,Kw9,34
2025,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2025,Oversea-Chinese Banking Corporation Ltd,Kw11,3
2025,Oversea-Chinese Banking Corporation Ltd,Kw12,136
2025,Oversea-Chinese Banking Corporation Ltd,Kw13,15
2025,HDFC Bank Ltd,Kw1,19
2025,HDFC Bank Ltd,Kw2,2310
2025,HDFC Bank Ltd,Kw3,2
2025,HDFC Bank Ltd,Kw4,1
2025,HDFC Bank Ltd,Kw5,46
2025,HDFC Bank Ltd,Kw6,34
2025,HDFC Bank Ltd,Kw7,1
2025,HDFC Bank Ltd,Kw8,0
2025,HDFC Bank Ltd,Kw9,15
2025,HDFC Bank Ltd,Kw10,1640
