Year,Bank,KeywordIndex,TotalResults
2018,Oversea-Chinese Banking Corporation Ltd,Kw12,1
2018,Oversea-Chinese Banking Corporation Ltd,Kw13,4
2017,Oversea-Chinese Banking Corporation Ltd,Kw1,20
2017,Oversea-Chinese Banking Corporation Ltd,Kw2,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw3,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw4,1
2017,Oversea-Chinese Banking Corporation Ltd,Kw5,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw6,82
2017,Oversea-Chinese Banking Corporation Ltd,Kw7,1
2017,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw9,9
2017,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw11,2
2017,Oversea-Chinese Banking Corporation Ltd,Kw12,0
2017,Oversea-Chinese Banking Corporation Ltd,Kw13,5
2016,Oversea-Chinese Banking Corporation Ltd,Kw1,17
2016,Oversea-Chinese Banking Corporation Ltd,Kw2,1
2016,Oversea-Chinese Banking Corporation Ltd,Kw3,4
2016,Oversea-Chinese Banking Corporation Ltd,Kw4,0
2016,Oversea-Chinese Banking Corporation Ltd,Kw5,0
2016,Oversea-Chinese Banking Corporation Ltd,Kw6,66
2016,Oversea-Chinese Banking Corporation Ltd,Kw7,0
2016,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2016,Oversea-Chinese Banking Corporation Ltd,Kw9,3
2016,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2016,Oversea-Chinese Banking Corporation Ltd,Kw11,0
2016,Oversea-Chinese Banking Corporation Ltd,Kw12,0
2016,Oversea-Chinese Banking Corporation Ltd,Kw13,4
2015,Oversea-Chinese Banking Corporation Ltd,Kw1,3
2015,Oversea-Chinese Banking Corporation Ltd,Kw2,0
2015,Oversea-Chinese Banking Corporation Ltd,Kw3,0
2015,Oversea-Chinese Banking Corporation Ltd,Kw4,0
2015,Oversea-Chinese Banking Corporation Ltd,Kw5,1
2015,Oversea-Chinese Banking Corporation Ltd,Kw6,60
2015,Oversea-Chinese Banking Corporation Ltd,Kw7,0
2015,Oversea-Chinese Banking Corporation Ltd,Kw8,0
2015,Oversea-Chinese Banking Corporation Ltd,Kw9,0
2015,Oversea-Chinese Banking Corporation Ltd,Kw10,0
2015,Oversea-Chinese Banking Corporation Ltd,Kw11,0
2015,Oversea-Chinese Banking Corporation Ltd,Kw12,1
2015,Oversea-Chinese Banking Corporation Ltd,Kw13,4
2025,HDFC Bank Ltd,Kw1,11
2025,HDFC Bank Ltd,Kw2,11
2025,HDFC Bank Ltd,Kw3,5
2025,HDFC Bank Ltd,Kw4,0
2025,HDFC Bank Ltd,Kw5,1
2025,HDFC Bank Ltd,Kw6,112
2025,HDFC Bank Ltd,Kw7,2
2025,HDFC Bank Ltd,Kw8,0
2025,HDFC Bank Ltd,Kw9,14
2025,HDFC Bank Ltd,Kw10,3
2025,HDFC Bank Ltd,Kw11,0
2025,HDFC Bank Ltd,Kw12,0
2025,HDFC Bank Ltd,Kw13,0
2024,HDFC Bank Ltd,Kw1,8
2024,HDFC Bank Ltd,Kw2,5
2024,HDFC Bank Ltd,Kw3,8
2024,HDFC Bank Ltd,Kw4,0
2024,HDFC Bank Ltd,Kw5,0
2024,HDFC Bank Ltd,Kw6,105
2024,HDFC Bank Ltd,Kw7,1
2024,HDFC Bank Ltd,Kw8,0
2024,HDFC Bank Ltd,Kw9,10
2024,HDFC Bank Ltd,Kw10,2
2024,HDFC Bank Ltd,Kw11,1
2024,HDFC Bank Ltd,Kw12,2
2024,HDFC Bank Ltd,Kw13,0
2023,HDFC Bank Ltd,Kw1,7
2023,HDFC Bank Ltd,Kw2,7
2023,HDFC Bank Ltd,Kw3,0
2023,HDFC Bank Ltd,Kw4,0
2023,HDFC Bank Ltd,Kw5,6
2023,HDFC Bank Ltd,Kw6,108
2023,HDFC Bank Ltd,Kw7,1
2023,HDFC Bank Ltd,Kw8,0
2023,HDFC Bank Ltd,Kw9,13
2023,HDFC Bank Ltd,Kw10,4
2023,HDFC Bank Ltd,Kw11,0
2023,HDFC Bank Ltd,Kw12,1
2023,HDFC Bank Ltd,Kw13,0
2022,HDFC Bank Ltd,Kw1,11
2022,HDFC Bank Ltd,Kw2,2
2022,HDFC Bank Ltd,Kw3,1
2022,HDFC Bank Ltd,Kw4,0
2022,HDFC Bank Ltd,Kw5,0
2022,HDFC Bank Ltd,Kw6,99
2022,HDFC Bank Ltd,Kw7,0
2022,HDFC Bank Ltd,Kw8,0
2022,HDFC Bank Ltd,Kw9,1
2022,HDFC Bank Ltd,Kw10,4
2022,HDFC Bank Ltd,Kw11,1
2022,HDFC Bank Ltd,Kw12,1
2022,HDFC Bank Ltd,Kw13,0
2021,HDFC Bank Ltd,Kw1,8
2021,HDFC Bank Ltd,Kw2,3
2021,HDFC Bank Ltd,Kw3,0
2021,HDFC Bank Ltd,Kw4,0
2021,HDFC Bank Ltd,Kw5,0
2021,HDFC Bank Ltd,Kw6,66
2021,HDFC Bank Ltd,Kw7,0
2021,HDFC Bank Ltd,Kw8,0
2021,HDFC Bank Ltd,Kw9,6
2021,HDFC Bank Ltd,Kw10,2
2021,HDFC Bank Ltd,Kw11,0
2021,HDFC Bank Ltd,Kw12,0
2021,HDFC Bank Ltd,Kw13,1
2020,HDFC Bank Ltd,Kw1,12
2020,HDFC Bank Ltd,Kw2,7
2020,HDFC Bank Ltd,Kw3,0
2020,HDFC Bank Ltd,Kw4,4
2020,HDFC Bank Ltd,Kw5,0
2020,HDFC Bank Ltd,Kw6,73
2020,HDFC Bank Ltd,Kw7,1
2020,HDFC Bank Ltd,Kw8,0
2020,HDFC Bank Ltd,Kw9,8
2020,HDFC Bank Ltd,Kw10,2
2020,HDFC Bank Ltd,Kw11,0
2020,HDFC Bank Ltd,Kw12,1
2020,HDFC Bank Ltd,Kw13,4
2019,HDFC Bank Ltd,Kw1,7
2019,HDFC Bank Ltd,Kw2,2
2019,HDFC Bank Ltd,Kw3,1
2019,HDFC Bank Ltd,Kw4,1
2019,HDFC Bank Ltd,Kw5,0
2019,HDFC Bank Ltd,Kw6,52
2019,HDFC Bank Ltd,Kw7,0
2019,HDFC Bank Ltd,Kw8,0
2019,HDFC Bank Ltd,Kw9,6
2019,HDFC Bank Ltd,Kw10,2
2019,HDFC Bank Ltd,Kw11,0
2019,HDFC Bank Ltd,Kw12,3
2019,HDFC Bank Ltd,Kw13,1
2018,HDFC Bank Ltd,Kw1,5
2018,HDFC Bank Ltd,Kw2,5
2018,HDFC Bank Ltd,Kw3,0
2018,HDFC Bank Ltd,Kw4,0
2018,HDFC Bank Ltd,Kw5,0
2018,HDFC Bank Ltd,Kw6,35
2018,HDFC Bank Ltd,Kw7,0
2018,HDFC Bank Ltd,Kw8,0
2018,HDFC Bank Ltd,Kw9,6
2018,HDFC Bank Ltd,Kw10,2
2018,HDFC Bank Ltd,Kw11,0
2018,HDFC Bank Ltd,Kw12,2
2018,HDFC Bank Ltd,Kw13,1
2017,HDFC Bank Ltd,Kw1,2
2017,HDFC Bank Ltd,Kw2,1
2017,HDFC Bank Ltd,Kw3,0
2017,HDFC Bank Ltd,Kw4,0
2017,HDFC Bank Ltd,Kw5,0
2017,HDFC Bank Ltd,Kw6,35
2017,HDFC Bank Ltd,Kw7,0
2017,HDFC Bank Ltd,Kw8,0
2017,HDFC Bank Ltd,Kw9,7
2017,HDFC Bank Ltd,Kw10,0
2017,HDFC Bank Ltd,Kw11,1
2017,HDFC Bank Ltd,Kw12,1
2017,HDFC Bank Ltd,Kw13,1
2016,HDFC Bank Ltd,Kw1,0
2016,HDFC Bank Ltd,Kw2,1
2016,HDFC Bank Ltd,Kw3,0
2016,HDFC Bank Ltd,Kw4,1
2016,HDFC Bank Ltd,Kw5,0
2016,HDFC Bank Ltd,Kw6,29
2016,HDFC Bank Ltd,Kw7,0
2016,HDFC Bank Ltd,Kw8,0
2016,HDFC Bank Ltd,Kw9,1
2016,HDFC Bank Ltd,Kw10,0
2016,HDFC Bank Ltd,Kw11,0
2016,HDFC Bank Ltd,Kw12,1
2016,HDFC Bank Ltd,Kw13,0
2015,HDFC Bank Ltd,Kw1,0
2015,HDFC Bank Ltd,Kw2,0
2015,HDFC Bank Ltd,Kw3,0
2015,HDFC Bank Ltd,Kw4,0
2015,HDFC Bank Ltd,Kw5,0
2015,HDFC Bank Ltd,Kw6,40
2015,HDFC Bank Ltd,Kw7,0
2015,HDFC Bank Ltd,Kw8,0
2015,HDFC Bank Ltd,Kw9,0
2015,HDFC Bank Ltd,Kw10,0
2015,HDFC Bank Ltd,Kw11,0
2015,HDFC Bank Ltd,Kw12,1
2015,HDFC Bank Ltd,Kw13,1
2025,City Union Bank Ltd,Kw1,1
2025,City Union Bank Ltd,Kw2,1
2025,City Union Bank Ltd,Kw3,3
2025,City Union Bank Ltd,Kw4,0
2025,City Union Bank Ltd,Kw5,1
2025,City Union Bank Ltd,Kw6,37
2025,City Union Bank Ltd,Kw7,0
2025,City Union Bank Ltd,Kw8,0
2025,City Union Bank Ltd,Kw9,0
2025,City Union Bank Ltd,Kw10,3
2025,City Union Bank Ltd,Kw11,0
2025,City Union Bank Ltd,Kw12,0
2025,City Union Bank Ltd,Kw13,0
2024,City Union Bank Ltd,Kw1,8
2024,City Union Bank Ltd,Kw2,1
2024,City Union Bank Ltd,Kw3,1
2024,City Union Bank Ltd,Kw4,0
2024,City Union Bank Ltd,Kw5,3
2024,City Union Bank Ltd,Kw6,35
